word,index
movie,1
film,2
one,3
like,4
good,5
time,6
even,7
would,8
story,9
really,10
see,11
well,12
much,13
get,14
bad,15
people,16
also,17
first,18
great,19
made,20
way,21
make,22
could,23
movies,24
think,25
characters,26
character,27
watch,28
two,29
films,30
seen,31
many,32
life,33
plot,34
acting,35
never,36
love,37
little,38
best,39
show,40
know,41
ever,42
man,43
better,44
end,45
still,46
say,47
scene,48
scenes,49
something,50
back,51
real,52
watching,53
though,54
thing,55
old,56
years,57
actors,58
director,59
work,60
another,61
new,62
nothing,63
funny,64
actually,65
makes,66
look,67
find,68
going,69
part,70
every,71
lot,72
world,73
cast,74
quite,75
got,76
want,77
things,78
pretty,79
young,80
seems,81
around,82
horror,83
however,84
fact,85
take,86
big,87
enough,88
long,89
thought,90
series,91
may,92
original,93
give,94
action,95
right,96
without,97
must,98
comedy,99
always,100
times,101
point,102
gets,103
family,104
role,105
come,106
saw,107
almost,108
interesting,109
least,110
done,111
whole,112
music,113
bit,114
guy,115
script,116
far,117
making,118
minutes,119
feel,120
anything,121
last,122
might,123
since,124
performance,125
girl,126
probably,127
woman,128
kind,129
away,130
yet,131
day,132
rather,133
worst,134
fun,135
sure,136
hard,137
anyone,138
played,139
found,140
although,141
especially,142
course,143
believe,144
screen,145
comes,146
looking,147
trying,148
set,149
goes,150
book,151
looks,152
place,153
actor,154
different,155
put,156
money,157
year,158
ending,159
dvd,160
let,161
maybe,162
someone,163
true,164
sense,165
everything,166
reason,167
shows,168
three,169
job,170
worth,171
main,172
together,173
play,174
watched,175
american,176
everyone,177
plays,178
john,179
effects,180
later,181
audience,182
said,183
takes,184
instead,185
house,186
beautiful,187
seem,188
night,189
high,190
version,191
wife,192
left,193
father,194
special,195
seeing,196
half,197
star,198
excellent,199
war,200
shot,201
idea,202
black,203
nice,204
less,205
else,206
mind,207
simply,208
read,209
second,210
fan,211
men,212
death,213
hollywood,214
poor,215
help,216
completely,217
dead,218
used,219
home,220
line,221
short,222
either,223
top,224
given,225
kids,226
budget,227
try,228
classic,229
wrong,230
performances,231
women,232
boring,233
enjoy,234
need,235
use,236
rest,237
low,238
friends,239
production,240
full,241
camera,242
along,243
truly,244
video,245
awful,246
couple,247
